date,name,category,value
2021-03-16,LTC,Ltc,200.71
2021-03-17,BNB,CeFi,258.367
2021-03-17,ETH,DeFi,1805.1
2021-03-17,LINK,Link,27.912
2021-03-17,LTC,Ltc,201.45
2021-03-18,BNB,CeFi,269.979
2021-03-18,ETH,DeFi,1822.9
2021-03-18,LINK,Link,31.0555
2021-03-18,LTC,Ltc,205.95
2021-03-19,BNB,CeFi,261.563
2021-03-19,ETH,DeFi,1776.0
2021-03-19,LINK,Link,29.4395
2021-03-19,LTC,Ltc,199.86
2021-03-20,BNB,CeFi,263.15
2021-03-20,ETH,DeFi,1810.4
2021-03-20,LINK,Link,29.78
2021-03-20,LTC,Ltc,200.23
2021-03-21,BNB,CeFi,264.307
2021-03-21,ETH,DeFi,1806.0
2021-03-21,LINK,Link,29.622
2021-03-21,LTC,Ltc,200.085
2021-03-22,BNB,CeFi,264.872
2021-03-22,ETH,DeFi,1783.4
2021-03-22,LINK,Link,29.238
2021-03-22,LTC,Ltc,195.69
2021-03-23,BNB,CeFi,254.751
2021-03-23,ETH,DeFi,1681.3
2021-03-23,LINK,Link,27.2495
2021-03-23,LTC,Ltc,185.73
2021-03-24,BNB,CeFi,255.528
2021-03-24,ETH,DeFi,1668.4
2021-03-24,LINK,Link,26.7825
2021-03-24,LTC,Ltc,186.04
2021-03-25,BNB,CeFi,248.718
2021-03-25,ETH,DeFi,1582.4
2021-03-25,LINK,Link,24.8515
2021-03-25,LTC,Ltc,176.3
2021-03-26,BNB,CeFi,234.027
2021-03-26,ETH,DeFi,1586.3
2021-03-26,LINK,Link,25.5415
2021-03-26,LTC,Ltc,171.56
2021-03-27,BNB,CeFi,255.011
2021-03-27,ETH,DeFi,1698.9
2021-03-27,LINK,Link,27.391
2021-03-27,LTC,Ltc,183.49
2021-03-28,BNB,CeFi,269.5
2021-03-28,ETH,DeFi,1713.0
2021-03-28,LINK,Link,26.8505
2021-03-28,LTC,Ltc,184.36
2021-03-29,BNB,CeFi,268.602
2021-03-29,ETH,DeFi,1686.8
2021-03-29,LINK,Link,26.65
2021-03-29,LTC,Ltc,184.34
2021-03-30,BNB,CeFi,275.201
2021-03-30,ETH,DeFi,1816.7
2021-03-30,LINK,Link,28.061
2021-03-30,LTC,Ltc,193.795
2021-03-31,BNB,CeFi,311.552
2021-03-31,ETH,DeFi,1840.8
2021-03-31,LINK,Link,27.842
2021-03-31,LTC,Ltc,195.8
2021-04-01,BNB,CeFi,302.346
2021-04-01,ETH,DeFi,1920.4
2021-04-01,LINK,Link,29.4495
2021-04-01,LTC,Ltc,196.95
2021-04-02,BNB,CeFi,334.804
2021-04-02,ETH,DeFi,1968.2
2021-04-02,LINK,Link,30.1105
2021-04-02,LTC,Ltc,202.765
2021-04-03,BNB,CeFi,338.254
2021-04-03,ETH,DeFi,2134.4
2021-04-03,LINK,Link,32.5
2021-04-03,LTC,Ltc,211.78
2021-04-04,BNB,CeFi,321.826
2021-04-04,ETH,DeFi,2008.7
2021-04-04,LINK,Link,29.275
2021-04-04,LTC,Ltc,195.26
2021-04-05,BNB,CeFi,349.0
2021-04-05,ETH,DeFi,2076.1
2021-04-05,LINK,Link,30.7435
2021-04-05,LTC,Ltc,202.44
2021-04-06,BNB,CeFi,367.8
2021-04-06,ETH,DeFi,2106.9
2021-04-06,LINK,Link,32.3615
2021-04-06,LTC,Ltc,221.405
2021-04-07,BNB,CeFi,403.115
2021-04-07,ETH,DeFi,2113.2
2021-04-07,LINK,Link,34.687
2021-04-07,LTC,Ltc,236.855
2021-04-08,BNB,CeFi,375.612
2021-04-08,ETH,DeFi,1963.3
2021-04-08,LINK,Link,31.1245
2021-04-08,LTC,Ltc,218.915
